번호,이름,별칭,타입,총합,HP,공격력,방어력,특별공격력,특별방어력,속도
65,후딘,Mega Alakazam,PSYCHIC,600,55,50,65,175,105,150
66,알통몬,,FIGHTING,305,70,80,50,35,35,35
67,근육몬,,FIGHTING,405,80,100,70,50,60,45
68,괴력몬,,FIGHTING,505,90,130,80,65,85,55
69,모다피,,GRASS,300,50,75,35,70,30,40
70,우츠동,,GRASS,390,65,90,50,85,45,55
71,우츠보트,,GRASS,490,80,105,65,100,70,70
72,왕눈해,,WATER,335,40,40,35,50,100,70
73,독파리,,WATER,515,80,70,65,80,120,100
74,꼬마돌,,ROCK,300,40,80,100,30,30,20
74,꼬마돌,Alolan Geodude,ROCK,300,40,80,100,30,30,20
75,데구리,,ROCK,390,55,95,115,45,45,35
75,데구리,Alolan Graveler,ROCK,390,55,95,115,45,45,35
76,딱구리,,ROCK,495,80,120,130,55,65,45
76,딱구리,Alolan Golem,ROCK,495,80,120,130,55,65,45
77,포니타,,FIRE,410,50,85,55,65,65,90
77,포니타,Galarian Ponyta,PSYCHIC,410,50,85,55,65,65,90
78,날쌩마,,FIRE,500,65,100,70,80,80,105
78,날쌩마,Galarian Rapidash,PSYCHIC,500,65,100,70,80,80,105
79,야돈,,WATER,315,90,65,65,40,40,15
79,야돈,Galarian Slowpoke,PSYCHIC,315,90,65,65,40,40,15
80,야도란,,WATER,490,95,75,110,100,80,30
80,야도란,Mega Slowbro,WATER,590,95,75,180,130,80,30
80,야도란,Galarian Slowbro,POISON,490,95,100,95,100,70,30
81,코일,,ELECTRIC,325,25,35,70,95,55,45
82,레어코일,,ELECTRIC,465,50,60,95,120,70,70
83,파오리,,NORMAL,377,52,90,55,58,62,60
83,파오리,Galarian Farfetch'd,FIGHTING,377,52,95,55,58,62,55
84,두두,,NORMAL,310,35,85,45,35,35,75
85,두트리오,,NORMAL,470,60,110,70,60,60,110
86,쥬쥬,,WATER,325,65,45,55,45,70,45
87,쥬레곤,,WATER,475,90,70,80,70,95,70
88,질퍽이,,POISON,325,80,80,50,40,50,25
88,질퍽이,Alolan Grimer,POISON,325,80,80,50,40,50,25
89,질뻐기,,POISON,500,105,105,75,65,100,50
89,질뻐기,Alolan Muk,POISON,500,105,105,75,65,100,50
90,셀러,,WATER,305,30,65,100,45,25,40
91,파르셀,,WATER,525,50,95,180,85,45,70
92,고오스,,GHOST,310,30,35,30,100,35,80
93,고우스트,,GHOST,405,45,50,45,115,55,95
94,팬텀,,GHOST,500,60,65,60,130,75,110
94,팬텀,Mega Gengar,GHOST,600,60,65,80,170,95,130
95,롱스톤,,ROCK,385,35,45,160,30,45,70
96,슬리프,,PSYCHIC,328,60,48,45,43,90,42
97,슬리퍼,,PSYCHIC,483,85,73,70,73,115,67
98,크랩,,WATER,325,30,105,90,25,25,50
99,킹크랩,,WATER,475,55,130,115,50,50,75
100,찌리리공,,ELECTRIC,330,40,30,50,55,55,100
101,붐볼,,ELECTRIC,490,60,50,70,80,80,150
102,아라리,,GRASS,325,60,40,80,60,45,40
103,나시,,GRASS,530,95,95,85,125,75,55
103,나시,Alolan Exeggutor,GRASS,530,95,105,85,125,75,45
104,탕구리,,GROUND,320,50,50,95,40,50,35
105,텅구리,,GROUND,425,60,80,110,50,80,45
105,텅구리,Alolan Marowak,FIRE,425,60,80,110,50,80,45
106,시라소몬,,FIGHTING,455,50,120,53,35,110,87
107,홍수몬,,FIGHTING,455,50,105,79,35,110,76
108,내루미,,NORMAL,385,90,55,75,60,75,30
109,또가스,,POISON,340,40,65,95,60,45,35
110,또도가스,,POISON,490,65,90,120,85,70,60
110,또도가스,Galarian Weezing,POISON,490,65,90,120,85,70,60
111,뿔카노,,GROUND,345,80,85,95,30,30,25
112,코뿌리,,GROUND,485,105,130,120,45,45,40
113,럭키,,NORMAL,450,250,5,5,35,105,50
114,덩쿠리,,GRASS,435,65,55,115,100,40,60
115,캥카,,NORMAL,490,105,95,80,40,80,90
115,캥카,Mega Kangaskhan,NORMAL,590,105,125,100,60,100,100
116,쏘드라,,WATER,295,30,40,70,70,25,60
117,시드라,,WATER,440,55,65,95,95,45,85
118,콘치,,WATER,320,45,67,60,35,50,63
119,왕콘치,,WATER,450,80,92,65,65,80,68
120,별가사리,,WATER,340,30,45,55,70,55,85
121,아쿠스타,,WATER,520,60,75,85,100,85,115
122,Mr. Mime,,PSYCHIC,460,40,45,65,100,120,90
122,Mr. Mime,Galarian Mr. Mime,ICE,460,50,65,65,90,90,100
123,스라크,,BUG,500,70,110,80,55,80,105
124,루주라,,ICE,455,65,50,35,115,95,95
125,에레브,,ELECTRIC,490,65,83,57,95,85,105
126,마그마,,FIRE,495,65,95,57,100,85,93
127,쁘사이저,,BUG,500,65,125,100,55,70,85
127,쁘사이저,Mega Pinsir,BUG,600,65,155,120,65,90,105
128,켄타로스,,NORMAL,490,75,100,95,40,70,110
129,잉어킹,,WATER,200,20,10,55,15,20,80
130,갸라도스,,WATER,540,95,125,79,60,100,81
130,갸라도스,Mega Gyarados,WATER,640,95,155,109,70,130,81
131,라프라스,,WATER,535,130,85,80,85,95,60
132,메타몽,,NORMAL,288,48,48,48,48,48,48
133,이브이,,NORMAL,325,55,55,50,45,65,55
133,이브이,Partner Eevee,NORMAL,435,65,75,70,65,85,75
134,샤미드,,WATER,525,130,65,60,110,95,65
135,쥬피썬더,,ELECTRIC,525,65,65,60,110,95,130
136,부스터,,FIRE,525,65,130,60,95,110,65
137,폴리곤,,NORMAL,395,65,60,70,85,75,40
138,암나이트,,ROCK,355,35,40,100,90,55,35
139,암스타,,ROCK,495,70,60,125,115,70,55
140,투구,,ROCK,355,30,80,90,55,45,55
141,투구푸스,,ROCK,495,60,115,105,65,70,80
142,프테라,,ROCK,515,80,105,65,60,75,130
142,프테라,Mega Aerodactyl,ROCK,615,80,135,85,70,95,150
143,잠만보,,NORMAL,540,160,110,65,65,110,30
144,프리져,,ICE,580,90,85,100,95,125,85
144,프리져,Galarian Articuno,PSYCHIC,580,90,85,85,125,100,95
145,썬더,,ELECTRIC,580,90,90,85,125,90,100
145,썬더,Galarian Zapdos,FIGHTING,580,90,125,90,85,90,100
146,파이어,,FIRE,580,90,100,90,125,85,90
146,파이어,Galarian Moltres,DARK,580,90,85,90,100,125,90
147,미뇽,,DRAGON,300,41,64,45,50,50,50
148,신뇽,,DRAGON,420,61,84,65,70,70,70
149,망나뇽,,DRAGON,600,91,134,95,100,100,80
150,뮤츠,,PSYCHIC,680,106,110,90,154,90,130
150,뮤츠,Mega Mewtwo X,PSYCHIC,780,106,190,100,154,100,130
150,뮤츠,Mega Mewtwo Y,PSYCHIC,780,106,150,70,194,120,140
151,뮤,,PSYCHIC,600,100,100,100,100,100,100
152,치코리타,,GRASS,318,45,49,65,49,65,45
153,베이리프,,GRASS,405,60,62,80,63,80,60
154,메가니움,,GRASS,525,80,82,100,83,100,80
155,브케인,,FIRE,309,39,52,43,60,50,65
156,마그케인,,FIRE,405,58,64,58,80,65,80
157,블레이범,,FIRE,534,78,84,78,109,85,100
158,리아코,,WATER,314,50,65,64,44,48,43
159,엘리게이,,WATER,405,65,80,80,59,63,58
160,장크로다일,,WATER,530,85,105,100,79,83,78
161,꼬리선,,NORMAL,215,35,46,34,35,45,20
162,다꼬리,,NORMAL,415,85,76,64,45,55,90
163,부우부,,NORMAL,262,60,30,30,36,56,50
164,야부엉,,NORMAL,452,100,50,50,86,96,70
165,레디바,,BUG,265,40,20,30,40,80,55
166,레디안,,BUG,390,55,35,50,55,110,85
167,페이검,,BUG,250,40,60,40,40,40,30
168,아리아도스,,BUG,400,70,90,70,60,70,40
169,크로뱃,,POISON,535,85,90,80,70,80,130
170,초라기,,WATER,330,75,38,38,56,56,67
171,랜턴,,WATER,460,125,58,58,76,76,67
172,피츄,,ELECTRIC,205,20,40,15,35,35,60
173,삐,,FAIRY,218,50,25,28,45,55,15
174,푸푸린,,NORMAL,210,90,30,15,40,20,15
175,토게피,,FAIRY,245,35,20,65,40,65,20
176,토게틱,,FAIRY,405,55,40,85,80,105,40
177,네이티,,PSYCHIC,320,40,50,45,70,45,70
178,네이티오,,PSYCHIC,470,65,75,70,95,70,95
179,메리프,,ELECTRIC,280,55,40,40,65,45,35
180,보송송,,ELECTRIC,365,70,55,55,80,60,45
181,전룡,,ELECTRIC,510,90,75,85,115,90,55
181,전룡,Mega Ampharos,ELECTRIC,610,90,95,105,165,110,45
182,아르코,,GRASS,490,75,80,95,90,100,50
183,마릴,,WATER,250,70,20,50,20,50,40
184,마릴리,,WATER,420,100,50,80,60,80,50
185,꼬지모,,ROCK,410,70,100,115,30,65,30
186,왕구리,,WATER,500,90,75,75,90,100,70
187,통통코,,GRASS,250,35,35,40,35,55,50
188,두코,,GRASS,340,55,45,50,45,65,80
189,솜솜코,,GRASS,460,75,55,70,55,95,110
190,에이팜,,NORMAL,360,55,70,55,40,55,85
191,해너츠,,GRASS,180,30,30,30,30,30,30
192,해루미,,GRASS,425,75,75,55,105,85,30
193,왕자리,,BUG,390,65,65,45,75,45,95
194,우파,,WATER,210,55,45,45,25,25,15
195,누오,,WATER,430,95,85,85,65,65,35
196,에브이,,PSYCHIC,525,65,65,60,130,95,110
197,블래키,,DARK,525,95,65,110,60,130,65
198,니로우,,DARK,405,60,85,42,85,42,91
199,야도킹,,WATER,490,95,75,80,100,110,30
199,야도킹,Galarian Slowking,POISON,490,95,65,80,110,110,30
200,무우마,,GHOST,435,60,60,60,85,85,85
201,안농,,PSYCHIC,336,48,72,48,72,48,48
202,마자용,,PSYCHIC,405,190,33,58,33,58,33
203,키링키,,NORMAL,455,70,80,65,90,65,85
204,피콘,,BUG,290,50,65,90,35,35,15
205,쏘콘,,BUG,465,75,90,140,60,60,40
206,노고치,,NORMAL,415,100,70,70,65,65,45
207,글라이거,,GROUND,430,65,75,105,35,65,85
208,강철톤,,STEEL,510,75,85,200,55,65,30
208,강철톤,Mega Steelix,STEEL,610,75,125,230,55,95,30
209,블루,,FAIRY,300,60,80,50,40,40,30
210,그랑블루,,FAIRY,450,90,120,75,60,60,45
211,침바루,,WATER,440,65,95,85,55,55,85
212,핫삼,,BUG,500,70,130,100,55,80,65
212,핫삼,Mega Scizor,BUG,600,70,150,140,65,100,75
213,단단지,,BUG,505,20,10,230,10,230,5
214,헤라크로스,,BUG,500,80,125,75,40,95,85
214,헤라크로스,Mega Heracross,BUG,600,80,185,115,40,105,75
215,포푸니,,DARK,430,55,95,55,35,75,115
216,깜지곰,,NORMAL,330,60,80,50,50,50,40
217,링곰,,NORMAL,500,90,130,75,75,75,55
218,마그마그,,FIRE,250,40,40,40,70,40,20
219,마그카르고,,FIRE,430,60,50,120,90,80,30
220,꾸꾸리,,ICE,250,50,50,40,30,30,50
221,메꾸리,,ICE,450,100,100,80,60,60,50
222,코산호,,WATER,410,65,55,95,65,95,35
222,코산호,Galarian Corsola,GHOST,410,60,55,100,65,100,30
223,총어,,WATER,300,35,65,35,65,35,65
224,대포무노,,WATER,480,75,105,75,105,75,45
225,딜리버드,,ICE,330,45,55,45,65,45,75
226,만타인,,WATER,485,85,40,70,80,140,70
227,무장조,,STEEL,465,65,80,140,40,70,70
228,델빌,,DARK,330,45,60,30,80,50,65
229,헬가,,DARK,500,75,90,50,110,80,95
229,헬가,Mega Houndoom,DARK,600,75,90,90,140,90,115
230,킹드라,,WATER,540,75,95,95,95,95,85
231,코코리,,GROUND,330,90,60,60,40,40,40
232,코리갑,,GROUND,500,90,120,120,60,60,50
233,폴리곤2,,NORMAL,515,85,80,90,105,95,60
234,노라키,,NORMAL,465,73,95,62,85,65,85
235,루브도,,NORMAL,250,55,20,35,20,45,75
236,배루키,,FIGHTING,210,35,35,35,35,35,35
237,카포에라,,FIGHTING,455,50,95,95,35,110,70
238,뽀뽀라,,ICE,305,45,30,15,85,65,65
239,에레키드,,ELECTRIC,360,45,63,37,65,55,95
240,마그비,,FIRE,365,45,75,37,70,55,83
241,밀탱크,,NORMAL,490,95,80,105,40,70,100
242,해피너스,,NORMAL,540,255,10,10,75,135,55
243,라이코,,ELECTRIC,580,90,85,75,115,100,115
244,앤테이,,FIRE,580,115,115,85,90,75,100
245,스이쿤,,WATER,580,100,75,115,90,115,85
246,애버라스,,ROCK,300,50,64,50,45,50,41
247,데기라스,,ROCK,410,70,84,70,65,70,51
248,마기라스,,ROCK,600,100,134,110,95,100,61
248,마기라스,Mega Tyranitar,ROCK,700,100,164,150,95,120,71
249,루기아,,PSYCHIC,680,106,90,130,90,154,110
250,Ho-oh,,FIRE,680,106,130,90,110,154,90
251,세레비,,PSYCHIC,600,100,100,100,100,100,100
252,나무지기,,GRASS,310,40,45,35,65,55,70
253,나무돌이,,GRASS,405,50,65,45,85,65,95
254,나무킹,,GRASS,530,70,85,65,105,85,120
254,나무킹,Mega Sceptile,GRASS,630,70,110,75,145,85,145
255,아차모,,FIRE,310,45,60,40,70,50,45
256,영치코,,FIRE,405,60,85,60,85,60,55
257,번치코,,FIRE,530,80,120,70,110,70,80
257,번치코,Mega Blaziken,FIRE,630,80,160,80,130,80,100
258,물짱이,,WATER,310,50,70,50,50,50,40
259,늪짱이,,WATER,405,70,85,70,60,70,50
260,대짱이,,WATER,535,100,110,90,85,90,60
260,대짱이,Mega Swampert,WATER,635,100,150,110,95,110,70
261,포챠나,,DARK,220,35,55,35,30,30,35
262,그라에나,,DARK,420,70,90,70,60,60,70
263,지그제구리,,NORMAL,240,38,30,41,30,41,60
263,지그제구리,Galarian Zigzagoon,DARK,240,38,30,41,30,41,60
264,직구리,,NORMAL,420,78,70,61,50,61,100
264,직구리,Galarian Linoone,DARK,420,78,70,61,50,61,100
265,개무소,,BUG,195,45,45,35,20,30,20
266,실쿤,,BUG,205,50,35,55,25,25,15
267,뷰티플라이,,BUG,395,60,70,50,100,50,65
268,카스쿤,,BUG,205,50,35,55,25,25,15
269,독케일,,BUG,385,60,50,70,50,90,65
270,연꽃몬,,WATER,220,40,30,30,40,50,30
271,로토스,,WATER,340,60,50,50,60,70,50
272,로파파,,WATER,480,80,70,70,90,100,70
273,도토링,,GRASS,220,40,40,50,30,30,30
274,잎새코,,GRASS,340,70,70,40,60,40,60
275,다탱구,,GRASS,480,90,100,60,90,60,80
276,테일로,,NORMAL,270,40,55,30,30,30,85
277,스왈로,,NORMAL,455,60,85,60,75,50,125
278,갈모매,,WATER,270,40,30,30,55,30,85
279,패리퍼,,WATER,440,60,50,100,95,70,65
280,랄토스,,PSYCHIC,198,28,25,25,45,35,40
281,킬리아,,PSYCHIC,278,38,35,35,65,55,50
282,가디안,,PSYCHIC,518,68,65,65,125,115,80
282,가디안,Mega Gardevoir,PSYCHIC,618,68,85,65,165,135,100
283,비구술,,BUG,269,40,30,32,50,52,65
284,비나방,,BUG,454,70,60,62,100,82,80
285,버섯꼬,,GRASS,295,60,40,60,40,60,35
286,버섯모,,GRASS,460,60,130,80,60,60,70
287,게을로,,NORMAL,280,60,60,60,35,35,30
288,발바로,,NORMAL,440,80,80,80,55,55,90
289,게을킹,,NORMAL,670,150,160,100,95,65,100
290,토중몬,,BUG,266,31,45,90,30,30,40
291,아이스크,,BUG,456,61,90,45,50,50,160
292,껍질몬,,BUG,236,1,90,45,30,30,40
293,소곤룡,,NORMAL,240,64,51,23,51,23,28
294,노공룡,,NORMAL,360,84,71,43,71,43,48
295,폭음룡,,NORMAL,490,104,91,63,91,73,68
296,마크탕,,FIGHTING,237,72,60,30,20,30,25
297,하리뭉,,FIGHTING,474,144,120,60,40,60,50
298,루리리,,NORMAL,190,50,20,40,20,40,20
299,코코파스,,ROCK,375,30,45,135,45,90,30
300,에나비,,NORMAL,260,50,45,45,35,35,50
301,델케티,,NORMAL,400,70,65,65,55,55,90
302,깜까미,,DARK,380,50,75,75,65,65,50
302,깜까미,Mega Sableye,DARK,480,50,85,125,85,115,20
303,입치트,,STEEL,380,50,85,85,55,55,50
303,입치트,Mega Mawile,STEEL,480,50,105,125,55,95,50
304,가보리,,STEEL,330,50,70,100,40,40,30
305,갱도라,,STEEL,430,60,90,140,50,50,40
306,보스로라,,STEEL,530,70,110,180,60,60,50
306,보스로라,Mega Aggron,STEEL,630,70,140,230,60,80,50
307,요가랑,,FIGHTING,280,30,40,55,40,55,60
308,요가램,,FIGHTING,410,60,60,75,60,75,80
308,요가램,Mega Medicham,FIGHTING,510,60,100,85,80,85,100
309,썬더라이,,ELECTRIC,295,40,45,40,65,40,65
310,썬더볼트,,ELECTRIC,475,70,75,60,105,60,105
310,썬더볼트,Mega Manectric,ELECTRIC,575,70,75,80,135,80,135
311,플러시,,ELECTRIC,405,60,50,40,85,75,95
312,마이농,,ELECTRIC,405,60,40,50,75,85,95
313,볼비트,,BUG,430,65,73,75,47,85,85
314,네오비트,,BUG,430,65,47,75,73,85,85
315,로젤리아,,GRASS,400,50,60,45,100,80,65
316,꼴깍몬,,POISON,302,70,43,53,43,53,40
317,꿀꺽몬,,POISON,467,100,73,83,73,83,55
318,샤프니아,,WATER,305,45,90,20,65,20,65
319,샤크니아,,WATER,460,70,120,40,95,40,95
319,샤크니아,Mega Sharpedo,WATER,560,70,140,70,110,65,105
320,고래왕자,,WATER,400,130,70,35,70,35,60
321,고래왕,,WATER,500,170,90,45,90,45,60
322,둔타,,FIRE,305,60,60,40,65,45,35
323,폭타,,FIRE,460,70,100,70,105,75,40
323,폭타,Mega Camerupt,FIRE,560,70,120,100,145,105,20
324,코터스,,FIRE,470,70,85,140,85,70,20
325,피그점프,,PSYCHIC,330,60,25,35,70,80,60
326,피그킹,,PSYCHIC,470,80,45,65,90,110,80
327,얼루기,,NORMAL,360,60,60,60,60,60,60
328,톱치,,GROUND,290,45,100,45,45,45,10
329,비브라바,,GROUND,340,50,70,50,50,50,70
330,플라이곤,,GROUND,520,80,100,80,80,80,100
331,선인왕,,GRASS,335,50,85,40,85,40,35
332,밤선인,,GRASS,475,70,115,60,115,60,55
333,파비코,,NORMAL,310,45,40,60,40,75,50
334,파비코리,,DRAGON,490,75,70,90,70,105,80
334,파비코리,Mega Altaria,DRAGON,590,75,110,110,110,105,80
335,쟝고,,NORMAL,458,73,115,60,60,60,90
336,세비퍼,,POISON,458,73,100,60,100,60,65
337,루나톤,,ROCK,460,90,55,65,95,85,70
338,솔록,,ROCK,460,90,95,85,55,65,70
339,미꾸리,,WATER,288,50,48,43,46,41,60
340,메깅,,WATER,468,110,78,73,76,71,60
341,가재군,,WATER,308,43,80,65,50,35,35
342,가재장군,,WATER,468,63,120,85,90,55,55
343,오뚝군,,GROUND,300,40,40,55,40,70,55
344,점토도리,,GROUND,500,60,70,105,70,120,75
345,릴링,,ROCK,355,66,41,77,61,87,23
346,릴리요,,ROCK,495,86,81,97,81,107,43
347,아노딥스,,ROCK,355,45,95,50,40,50,75
348,아말도,,ROCK,495,75,125,100,70,80,45
349,빈티나,,WATER,200,20,15,20,10,55,80
350,밀로틱,,WATER,540,95,60,79,100,125,81
351,캐스퐁,,NORMAL,420,70,70,70,70,70,70
351,캐스퐁,Sunny Form,FIRE,420,70,70,70,70,70,70
351,캐스퐁,Rainy Form,WATER,420,70,70,70,70,70,70
351,캐스퐁,Snowy Form,ICE,420,70,70,70,70,70,70
352,켈리몬,,NORMAL,440,60,90,70,60,120,40
353,어둠대신,,GHOST,295,44,75,35,63,33,45
354,다크펫,,GHOST,455,64,115,65,83,63,65
354,다크펫,Mega Banette,GHOST,555,64,165,75,93,83,75
355,해골몽,,GHOST,295,20,40,90,30,90,25
356,미라몽,,GHOST,455,40,70,130,60,130,25
357,트로피우스,,GRASS,460,99,68,83,72,87,51
358,치렁,,PSYCHIC,455,75,50,80,95,90,65
359,앱솔,,DARK,465,65,130,60,75,60,75
359,앱솔,Mega Absol,DARK,565,65,150,60,115,60,115
360,마자,,PSYCHIC,260,95,23,48,23,48,23
361,눈꼬마,,ICE,300,50,50,50,50,50,50
362,얼음귀신,,ICE,480,80,80,80,80,80,80
362,얼음귀신,Mega Glalie,ICE,580,80,120,80,120,80,100
363,대굴레오,,ICE,290,70,40,50,55,50,25
364,씨레오,,ICE,410,90,60,70,75,70,45
365,씨카이저,,ICE,530,110,80,90,95,90,65
366,진주몽,,WATER,345,35,64,85,74,55,32
367,헌테일,,WATER,485,55,104,105,94,75,52
368,분홍장이,,WATER,485,55,84,105,114,75,52
369,시라칸,,WATER,485,100,90,130,45,65,55
370,사랑동이,,WATER,330,43,30,55,40,65,97
371,아공이,,DRAGON,300,45,75,60,40,30,50
372,쉘곤,,DRAGON,420,65,95,100,60,50,50
373,보만다,,DRAGON,600,95,135,80,110,80,100
373,보만다,Mega Salamence,DRAGON,700,95,145,130,120,90,120
374,메탕,,STEEL,300,40,55,80,35,60,30
375,메탕구,,STEEL,420,60,75,100,55,80,50
376,메타그로스,,STEEL,600,80,135,130,95,90,70
376,메타그로스,Mega Metagross,STEEL,700,80,145,150,105,110,110
377,레지락,,ROCK,580,80,100,200,50,100,50
378,레지아이스,,ICE,580,80,50,100,100,200,50
379,레지스틸,,STEEL,580,80,75,150,75,150,50
380,라티아스,,DRAGON,600,80,80,90,110,130,110
380,라티아스,Mega Latias,DRAGON,700,80,100,120,140,150,110
381,라티오스,,DRAGON,600,80,90,80,130,110,110
381,라티오스,Mega Latios,DRAGON,700,80,130,100,160,120,110
382,가이오가,,WATER,670,100,100,90,150,140,90
382,가이오가,Primal Kyogre,WATER,770,100,150,90,180,160,90
383,그란돈,,GROUND,670,100,150,140,100,90,90
383,그란돈,Primal Groudon,GROUND,770,100,180,160,150,90,90
384,레쿠쟈,,DRAGON,680,105,150,90,150,90,95
384,레쿠쟈,Mega Rayquaza,DRAGON,780,105,180,100,180,100,115
385,지라치,,STEEL,600,100,100,100,100,100,100
386,테오키스,Normal Forme,PSYCHIC,600,50,150,50,150,50,150
386,테오키스,Attack Forme,PSYCHIC,600,50,180,20,180,20,150
386,테오키스,Defense Forme,PSYCHIC,600,50,70,160,70,160,90
386,테오키스,Speed Forme,PSYCHIC,600,50,95,90,95,90,180
387,모부기,,GRASS,318,55,68,64,45,55,31
388,수풀부기,,GRASS,405,75,89,85,55,65,36
389,토대부기,,GRASS,525,95,109,105,75,85,56
390,불꽃숭이,,FIRE,309,44,58,44,58,44,61
391,파이숭이,,FIRE,405,64,78,52,78,52,81
392,초염몽,,FIRE,534,76,104,71,104,71,108
393,팽도리,,WATER,314,53,51,53,61,56,40
394,팽태자,,WATER,405,64,66,68,81,76,50
395,엠페르트,,WATER,530,84,86,88,111,101,60
396,찌르꼬,,NORMAL,245,40,55,30,30,30,60
397,찌르버드,,NORMAL,340,55,75,50,40,40,80
398,찌르호크,,NORMAL,485,85,120,70,50,60,100
399,비버니,,NORMAL,250,59,45,40,35,40,31
400,비버통,,NORMAL,410,79,85,60,55,60,71
401,귀뚤뚜기,,BUG,194,37,25,41,25,41,25
